produto;descrição;qut;precro_bruto;prateleira
1210117MPR;JTA MTR CB MET PACK C RT GM CORSA MERIVA MONTANA F;0,;301,84;
1210119MPR;JTA MTR CB MET PACK C RT GM MERIVA FIAT STILO DOHC;0,;391,03;
121075MPR;JTA MTR CB MET PACK C RT GM VECTRA ASTRA BLAZER S1;0,;327,54;
121087MPR;JTA MTR CB MET PACK C RT GM VECTRA S10 ASTRA ZAFIR;0,;318,93;
111057MPR;JTA MTR CB MET PACK C RT GOL PAR 98 2001 IBIZA COR;0,;417,99;
111099MPR;JTA MTR CB MET PACK C RT GOLF 01 IBIZA 03 MTR BAH;0,;398,38;
151098MPR2;JTA MTR CB MET PACK C RT HASTE 6MM GUIA 9MM PEUGEO;0,;817,96;
1510136MPR;JTA MTR CB MET PACK C RT HONDA CIVIC 1.5 16 VAL D1;0,;500,83;
151025MPR;JTA MTR CB MET PACK C RT KIA BESTA 2.7 DIESEL ANO;0,;409,55;
151023MPR;JTA MTR CB MET PACK C RT KIA BESTA GS 2.7 BONGO K2;0,;464,68;
151094MPR;JTA MTR CB MET PACK C RT KIA BONGO CERES 2.4 DIESE;0,;377,83;
151035MPR;JTA MTR CB MET PACK C RT M BENS 120D 130D 140D 150;0,;699,57;
1510132MPR;JTA MTR CB MET PACK C RT PEUGEOT 106 206 306 TU5JP;0,;371,90;
151096MPR;JTA MTR CB MET PACK C RT PEUGEOT 205 306 309 405 P;0,;548,12;
1510134MPR;JTA MTR CB MET PACK C RT PEUGEOT 206 307 PARTNER C;0,;542,62;
1510120MPR;JTA MTR CB MET PACK C RT PEUGEOT 306 405 406 2.0 8;0,;465,53;
1510100MPR;JTA MTR CB MET PACK C RT PEUGEOT 306 405 GRI SRI S;0,;582,16;
1510141MPR;JTA MTR CB MET PACK C RT PEUGEOT 307 406 407 607 8;0,;719,32;
1510116MPR;JTA MTR CB MET PACK C RT RENAULT CLIO II KANGOO K7;0,;498,14;
1510173MPR;JTA MTR CB MET PACK C RT RENAULT CLIO KANGOO LOGAN;0,;521,76;
151084MPR;JTA MTR CB MET PACK C RT RENAULT CLIO LAGUNA R19 R;0,;499,40;
1510114MPR;JTA MTR CB MET PACK C RT RENAULT CLIO MEGANE SCENI;0,;394,52;
151076MPR;JTA MTR CB MET PACK C RT RENAULT CLIO SCENIC R11 R;0,;375,32;
1510108MPR;JTA MTR CB MET PACK C RT RENAULT LAGUNA MEGANE SCE;0,;586,12;
1510118MPR;JTA MTR CB MET PACK C RT RENAULT MEGANE SCENIC LAG;0,;671,38;
1510110MPR;JTA MTR CB MET PACK C RT RENAULT TRAFIC CLIO MEGAN;0,;486,41;
151005MPR;JTA MTR CB MET PACK C RT RENAULT TRAFIC DIESEL;0,;453,65;
151002MPR;JTA MTR CB MET PACK C RT RENAULT TRAFIC R21 2.0 2.;0,;454,51;
1210105MPR;JTA MTR CB MET PACK C RT S GAX CB MET PACK C RT GM;0,;495,56;
1510163MPR;JTA MTR CB MET PACK C RT SUZUKI GRAND VITARA SZ BA;0,;678,23;
1510104MPR;JTA MTR CB MET PACK C RT SUZUKI VITARA SIDEKICK G1;0,;451,41;
1510106MPR;JTA MTR CB MET PACK C RT TOYOTA COROLLA 1.6 4AFE 1;0,;866,72;
1510153MPR;JTA MTR CB MET PACK C RT TOYOTA COROLLA DOHC 7AFE;0,;613,47;
111089MPR;JTA MTR CB MET PACK C RT VW BORA NEW BEETLE GOLF S;0,;383,09;
1110101MPR;JTA MTR CB MET PACK C RT VW FOX POLO CROSSFOX BAH;0,;399,43;
111065MPR;JTA MTR CB MET PACK C RT VW GOL SAVEIRO PARATI SAN;0,;242,95;
111095MPR;JTA MTR CB MET PACK C RT VW GOLF BORA AZD 1.6 16V;0,;370,99;
111091MPR;JTA MTR CB MET PACK C RT VW GOLF BORA AZJ AZM 2.0;0,;499,96;
111073MPR;JTA MTR CB MET PACK C RT VW GOLF GTI MEXICANO 2.0;0,;302,71;
111087MPR;JTA MTR CB MET PACK C RT VW GOLF PASSAT VARIANT NE;0,;881,39;
111081MPR;JTA MTR CB MET PACK C RT VW GOLF SR BORA AUDI A3 A;0,;380,96;
111069MPR;JTA MTR CB MET PACK C RT VW GOLF VENTO PASSAT CORR;0,;381,82;
111083MPR;JTA MTR CB MET PACK C RT VW PASSAT ADR AFY AEB 1.8;0,;880,58;
111047MPR;JTA MTR CB MET PACK C RT VW PASSAT GOL SANTANA SAV;0,;356,51;
1510140MP;JTA MTR CB MET PACK CITROEN AZ10 ZX SAXO C15 PEUGE;0,;419,85;
1510165MP;JTA MTR CB MET PACK CITROEN C2 C3 2002/ PEUGEOT206;0,;227,54;
1510183MP;JTA MTR CB MET PACK CITROEN C4 C5 PICASSO PEUGEOT;0,;400,04;
1510144MP;JTA MTR CB MET PACK CITROEN XM XANTIA XSARA EVASIO;0,;419,55;
141001MP;JTA MTR CB MET PACK FIAT 147 OGGI UNO PREMIO ELBA;0,;157,62;
141077MP;JTA MTR CB MET PACK FIAT LINEA 1.9 16V FLEX 2007/.;0,;242,21;
141057MP;JTA MTR CB MET PACK FIAT MAREA 2 0 20 VAL 5 CIL;0,;333,76;
141057MPTV;JTA MTR CB MET PACK FIAT MAREA 2 0 VAL 5 CIL;0,;333,61;
141069MP;JTA MTR CB MET PACK FIAT MAREA STILO ABARTH 2.0 2.;0,;528,02;
141029MP;JTA MTR CB MET PACK FIAT PALIO MILLE SMART MPI 1.0;0,;155,51;
141033MP;JTA MTR CB MET PACK FIAT PALIO SIENA BRAVA 1.6 16;0,;222,28;
141021MP;JTA MTR CB MET PACK FIAT TEMPRA 2.0 16 VAL;0,;232,30;
141025MP;JTA MTR CB MET PACK FIAT TEMPRA 2.0 8 VAL;0,;232,30;
141045MP;JTA MTR CB MET PACK FIAT TIPO 2.0 16 VAL;0,;256,10;
141041MP;JTA MTR CB MET PACK FIAT TIPO 2.0 8 VAL;0,;313,31;
141037MP;JTA MTR CB MET PACK FIAT TIPO PALIO 1.6 8 VAL ARGE;0,;150,60;
141005MP;JTA MTR CB MET PACK FIAT UNO MILLE 1.0 PREMIO FIOR;0,;152,52;
141013MP;JTA MTR CB MET PACK FIAT UNO PREMIO ELBA 1500 ARGE;0,;150,60;
141017MP;JTA MTR CB MET PACK FIAT UNO PREMIO ELBA 1600 ARGE;0,;150,60;
131069MP;JTA MTR CB MET PACK FIESTA ESCORT 02 05 MT 1.0 ZET;0,;238,28;
131037MP;JTA MTR CB MET PACK FORD CORCEL BELINA II ALC GAS;0,;122,64;
131013MP;JTA MTR CB MET PACK FORD ESCORT CORCEL DEL REY CHT;0,;175,12;
131049MP;JTA MTR CB MET PACK FORD ESCORT ZETEC 1.8 16V;0,;322,71;
171130MP;JTA MTR CB MET PACK FORD F600 CHEVROLET D60 65 DOD;0,;475,35;
171132MP;JTA MTR CB MET PACK FORD F700 F750 6358 6 CIL;0,;557,87;
131043MP;JTA MTR CB MET PACK FORD FIESTA COURIER ZETEC 1.4;0,;256,10;
131029MP;JTA MTR CB MET PACK FORD FIESTA KA COURIER ENDURA;0,;175,12;
131033MP;JTA MTR CB MET PACK FORD FIESTA KA ENDURA NACIONAL;0,;175,12;
131071MP;JTA MTR CB MET PACK FORD FOCUS MONDEO ZETEC 1.8 16;0,;416,92;
131065MP;JTA MTR CB MET PACK FORD FOCUS MONDEO ZETEC 2.0 16;0,;409,81;
131051MP;JTA MTR CB MET PACK FORD MONDEO ZETEC 2.0 16V 94/9;0,;284,22;
131053MP;JTA MTR CB MET PACK FORD RANGER EXPLORE OHV GAS V6;0,;593,93;
131055MP;JTA MTR CB MET PACK FORD RANGER EXPLORE V6 4.0 12V;0,;593,93;
131059MP;JTA MTR CB MET PACK FORD RANGER SOHC GAS 2.3 2.5 8;0,;494,31;
171112MP;JTA MTR CB MET PACK GAX PERKINS 4236 4248 CASE 580;0,;547,87;
121001MP;JTA MTR CB MET PACK GM CHEVETTE MARAJO ALC GAS 1.4;0,;138,90;
171115MP;JTA MTR CB MET PACK GM CHEVROLET D10 PERKINS D10 F;0,;654,58;
121093MP;JTA MTR CB MET PACK GM CORSA 1.0 16V;0,;205,49;
121099MP;JTA MTR CB MET PACK GM CORSA CELTA 1.6 16V;0,;167,56;
121063MP;JTA MTR CB MET PACK GM CORSA CELTA MPFI 1 0 04 98;0,;110,41;
121069MP;JTA MTR CB MET PACK GM CORSA CELTA MPFI 1.6 04-98/;0,;157,62;
1210123MP;JTA MTR CB MET PACK GM CORSA CELTA VHC 1.0 8V;0,;110,41;
121049MP;JTA MTR CB MET PACK GM CORSA EFI MPFI 1.0 8V 94/03;0,;196,73;
121057MP;JTA MTR CB MET PACK GM CORSA EFI MPFI 1.6 8V 94/03;0,;201,31;
1210117MP;JTA MTR CB MET PACK GM CORSA MERIVA MONTANA FIAT P;0,;150,00;
121037MP;JTA MTR CB MET PACK GM MONZA KADETT ALC GAS 1.8 82;0,;175,12;
121045MP;JTA MTR CB MET PACK GM MONZA KADETT IPANEMA 91/96;0,;221,55;
121033MP;JTA MTR CB MET PACK GM MONZA KADETT IPANEMA ALC GA;0,;175,12;
121041MP;JTA MTR CB MET PACK GM MONZA KADETT IPANEMA GSI EF;0,;175,12;
1210115MP;JTA MTR CB MET PACK GM OMEGA SILVERADO 4.1 6CIL 89;0,;409,50;
121009MP;JTA MTR CB MET PACK GM OPALA 90 CARAVAN 151 ALC GA;0,;202,71;
121017MP;JTA MTR CB MET PACK GM OPALA CARAVAN CAMINHAO C10;0,;272,59;
121075MP;JTA MTR CB MET PACK GM VECTRA ASTRA BLAZER S10 MPF;0,;220,40;
121087MP;JTA MTR CB MET PACK GM VECTRA S10 ASTRA ZAFIRA MPF;0,;232,38;
1510171MP;JTA MTR CB MET PACK HONDA CIVIC NEW CIVIC 1.7;0,;239,68;
151021MP;JTA MTR CB MET PACK KIA BESTA 2.2 DIESEL 92 A 97;0,;253,35;
151025MP;JTA MTR CB MET PACK KIA BESTA 2.7 DIESEL ANO ATE 9;0,;408,03;
151056MP;JTA MTR CB MET PACK KIA BESTA GS 3.0 GRANDE;0,;310,00;
151094MP;JTA MTR CB MET PACK KIA BONGO CERES 2.4 DIESEL 94;0,;443,81;
151092MP;JTA MTR CB MET PACK KIA SPORTAGE 2.0 DIESEL;0,;336,97;
161110MP;JTA MTR CB MET PACK M BENS OM314 L608D INJECAO DIR;0,;467,96;
161108MP;JTA MTR CB MET PACK M BENS OM352A 1316 1516 2216 T;0,;288,89;
161122MP;JTA MTR CB MET PACK M BENS OM364;0,;431,05;
161120MP;JTA MTR CB MET PACK M BENS OM366 6 CIL;0,;649,25;
181111MP;JTA MTR CB MET PACK MWM D229 4 CIL COMPLETO;0,;680,52;
181117MP;JTA MTR CB MET PACK MWM D229 FORD F600 900 950 VAL;0,;760,55;
181127MP;JTA MTR CB MET PACK MWM VALMET E300 D229 3 CIL;0,;249,00;
181123MP;JTA MTR CB MET PACK MWM X10 4.10;0,;697,74;
171118MP;JTA MTR CB MET PACK PERKINS S4 S4T Q20B D20 D40 DI;0,;685,16;
171101MP;JTA MTR CB MET PACK PERKINS TRATOR 4203 8BR;0,;301,03;
171106MP;JTA MTR CB MET PACK PERKINS TRATOR MASSEY FERGUSON;0,;538,35;
1510132MP;JTA MTR CB MET PACK PEUGEOT 106 206 306 TU5JP TU5J;0,;332,32;
151096MP;JTA MTR CB MET PACK PEUGEOT 205 306 309 405 PARTNE;0,;562,82;
1510120MP;JTA MTR CB MET PACK PEUGEOT 306 405 406 2.0 8 VAL;0,;396,93;
1510100MP;JTA MTR CB MET PACK PEUGEOT 306 405 GRI SRI STI CI;0,;398,97;
1510141MP;JTA MTR CB MET PACK PEUGEOT 307 406 407 607 806 80;0,;400,04;
1510116MP;JTA MTR CB MET PACK RENAULT CLIO II KANGOO K7M 746;0,;360,23;
1510173MP;JTA MTR CB MET PACK RENAULT CLIO KANGOO LOGAN MOD;0,;321,84;
1510114MP;JTA MTR CB MET PACK RENAULT CLIO MEGANE SCENIC KAN;0,;358,47;
151074MP;JTA MTR CB MET PACK RENAULT CLIO R19 C3L 1.6 8 VAL;0,;200,31;
151076MP;JTA MTR CB MET PACK RENAULT CLIO SCENIC R11 R19 R2;0,;238,92;
1510108MP;JTA MTR CB MET PACK RENAULT LAGUNA MEGANE SCENIC F;0,;344,27;
151005MP;JTA MTR CB MET PACK RENAULT TRAFIC DIESEL;0,;339,91;
151002MP;JTA MTR CB MET PACK RENAULT TRAFIC R21 2.0 2.2 GAS;0,;335,79;
111091MP;JTA MTR CB MET PACK S COL ADM BOR VW GOLF BORA AZJ;0,;689,42;
1210105MP;JTA MTR CB MET PACK S GAX CB MET PACK GM S10 BLAZE;0,;415,52;
1510163MP;JTA MTR CB MET PACK SUZUKI GRAND VITARA SZ BALENO;0,;373,40;
1510104MP;JTA MTR CB MET PACK SUZUKI VITARA SIDEKICK G16A G1;0,;294,74;
1510106MP;JTA MTR CB MET PACK TOYOTA COROLLA 1.6 4AFE 1.8 7A;0,;415,52;
171108MP;JTA MTR CB MET PACK TRATOR MASSEY FERGUSON MF220 2;0,;497,23;
1110101MP;JTA MTR CB MET PACK VW FOX BAH BJA BLH 03/... SPAC;0,;309,69;
111039MP;JTA MTR CB MET PACK VW GOL AE FORD ESCORT HOBBY DE;0,;200,42;
111061MP;JTA MTR CB MET PACK VW GOL SANTANA SAVEIRO PARATI;0,;335,28;
111057TMP;JTA MTR CB MET PACK VW GOL TURBO 1.0 16V 98/02;0,;248,52;
111095MP;JTA MTR CB MET PACK VW GOLF BORA AZD 1.6 16V 01/..;0,;224,08;
111019MP;JTA MTR CB MET PACK VW KOMBI 1.6 DIESEL 3 PICO;0,;185,34;
111047MP;JTA MTR CB MET PACK VW PASSAT GOL SANTANA SAVEIRO;0,;168,70;
111011MP;JTA MTR CB MET PACK VW PASSAT TS VOYAGE MTR MD ALC;0,;141,42;
111023MP;JTA MTR CB MET PACK VW SANTANA GOL PARATI AP ALC G;0,;220,67;
181031ML3R;JTA MTR COM RET CABE ACO INOX MWM X12 6.12;0,;1.141,76;
134289;JTA MTR FORD RANGER MTR POWER STROKE3/;0,;143,65;
19131011R;JTA MTR INF C RT C RT CUMMINS ISLE ISCE 8.3L 8.9L;0,;1.389,86;
19131008R;JTA MTR INF C RT CUMMINS ISDE QSB 4.5L;0,;895,21;
19131014R;JTA MTR INF C RT CUMMINS L10 ISM11;0,;2.512,61;
19131021R;JTA MTR INF RET CUMMINS ISBE4 3.9L 4CIL;0,;3.023,91;
19131026R;JTA MTR INF RET CUMMINS QSB 5.9 6CIL;0,;5.182,36;
19131024R;JTA MTR INF RET CUMMINS QSB 6.7 ISBE 6CIL;0,;2.446,03;
19131013R;JTA MTR INF RET CUMMINS QSL 6CIL;0,;3.886,98;
19131004R;JTA MTR INF RET CUMMINS SERIE B 4B BTA 3.9L 8V DIE;0,;544,12;
161330R;JTA MTR INF RET M BENS SPRINTER CDI LA DIESEL BI T;0,;617,31;
19131009R;JTA MTR INFERIOR CUMMINS 6ISBE5.9;0,;827,74;
19131006R;JTA MTR INFERIOR CUMMINS QSB5.9;0,;750,61;
19131016R;JTA MTR INFERIOR CUMMINS QSX15;0,;4.025,73;
151007MP;JTA MTR METALOPACK ASIA TOPIC 93/... MAZDA E2500 E;1,;310,84;
131045MPRF;JTA MTR METALOPACK C RET E FLANGE FORD FIESTA ECOS;0,;336,43;JOG-3_C
131047MPR;JTA MTR METALOPACK C RET FORD ECOSPORT FIESTA KA C;2,;430,97;JOG-3_B
131045MPR;JTA MTR METALOPACK C RET FORD FIESTA ECOSPORT KA Z;1,;432,55;JOG-3_E
151062MPR;JTA MTR METALOPACK C RET HONDA CIVIC D15Z1 1.5 16V;2,;436,36;JOG-8_D
151056MPR;JTA MTR METALOPACK C RET KIA GRAND BESTA GS 3.0;0,;430,00;JOG-7_B
151098MPR;JTA MTR METALOPACK C RET PEUGEOT 306 406 CITROEN X;2,;649,63;JOG-8_C
151086MPR;JTA MTR METALOPACK C RET RENAULT CLIO KANGOO TWING;0,;458,34;JOG-7_B
151087MPR;JTA MTR METALOPACK C RET RENAULT CLIO KANGOO TWING;0,;535,41;
151074MPR;JTA MTR METALOPACK C RET RENAULT CLIO MARADONA R19;0,;293,66;
141065MP;JTA MTR METALOPACK FIAT MAREA BRAVA BRAVO COUPE 1.;1,;223,48;
141053MP;JTA MTR METALOPACK FIAT PALIO SIENA DOBLO FIRE 1.0;3,;185,19;JOG-4_C
141049MP;JTA MTR METALOPACK FIAT UNO SMART PALIO SIENA FIRE;2,;160,17;JOG-4_C
131047MP;JTA MTR METALOPACK FORD ECOSPORT FIESTA KA COURIER;2,;284,22;JOG-3_D
131073MP;JTA MTR METALOPACK FORD ECOSPORT FOCUS MONDEO DURA;1,;463,28;JOG-3_C
131045MP;JTA MTR METALOPACK FORD FIESTA ECOSPORT KA ZETEC R;0,;206,56;JOG-4_A
1210119MP;JTA MTR METALOPACK GM MERIVA FIAT STILO DOHC 1.8 1;0,;276,14;
1510136MP;JTA MTR METALOPACK HONDA CIVIC CRX .../92 1.5 1.6;1,;298,14;
151062MP;JTA MTR METALOPACK HONDA CIVIC D15Z1 1.5 16V D16Z6;1,;464,70;JOG-8_D
151023MP;JTA MTR METALOPACK KIA BESTA GS K2700 PREGIO J2 2.;0,;449,25;
151092MPR;JTA MTR METALOPACK KIA SPORTAGE 2.0 TURBO DIESEL;0,;498,42;
151035MP;JTA MTR METALOPACK MERCEDES 120D 130D 140D 150D 17;2,;590,98;
151044MP;JTA MTR METALOPACK MSM 151042 CITROEN JUMPER FIAT;1,;235,12;JOG-7_E
1510134MP;JTA MTR METALOPACK PEUGEOT 206 307 PARTNER 97/...;1,;343,80;JOG-8_D
151098MP;JTA MTR METALOPACK PEUGEOT 306 406 CITROEN XANTIA;1,;361,76;JOG-7_B
151087MP;JTA MTR METALOPACK RENAULT CLIO KANGOO TWINGO PEUG;0,;269,09;
151084MP;JTA MTR METALOPACK RENAULT CLIO LAGUNA R19 R21 F3P;9,;317,93;
151090MP;JTA MTR METALOPACK RENAULT CLIO TWINGO KANGOO 1.2;5,;151,51;JOG-7_D
1510110MP;JTA MTR METALOPACK RENAULT LAGUNA MEGANE SCENIC 1.;7,;504,34;
141053MPR;JTA MTR METALOPACK RET FIAT PALIO SIENA DOBLO FIRE;0,;326,23;
141049MPR;JTA MTR METALOPACK RET FIAT UNO SMART PALIO SIENA;2,;182,36;JOG-4_D
141049MPRF;JTA MTR METALOPACK RET FLANGE FIAT UNO SMART PALIO;1,;231,79;
1510153MP;JTA MTR METALOPACK TOYOTA COROLLA 7AFE 1.8 16V DOH;0,;310,99;
151050MP;JTA MTR METALOPACK TOYOTA HILUX DYNA TOYOACE LANDC;3,;145,01;
111089MP;JTA MTR METALOPACK VW BORA NEW BEETLE GOLF SHARAN;3,;443,00;JOG-1_A
111077MP;JTA MTR METALOPACK VW GOL SANTANA SAVEIRO PARATI A;3,;242,96;JOG-1_A
111053MP;JTA MTR METALOPACK VW GOL SAVEIRO PARATI AT MI GAS;0,;230,80;JOG-1_D
111065MP;JTA MTR METALOPACK VW GOL SAVEIRO PARATI SANTANA G;1,;157,98;JOG-1_B
111099MP;JTA MTR METALOPACK VW GOLF BAH 1.6 8V 02/...;1,;238,23;JOG-1_D
111073MP;JTA MTR METALOPACK VW GOLF GTI MEXICANO MOTOR 2.0;2,;291,44;JOG-1_B
111087MP;JTA MTR METALOPACK VW GOLF PASSAT VARIANT NEW BEET;1,;702,64;
111081MP;JTA MTR METALOPACK VW GOLF SR BORA AUDI A3 A4 AEH;4,;417,45;JOG-1_B
111069MP;JTA MTR METALOPACK VW GOLF VENTO PASSAT CORRADO AB;3,;300,19;JOG-1_B
111083MP;JTA MTR METALOPACK VW PASSAT ADR AFY AEB 1.8 20V T;0,;573,26;JOG-1_B
111057MP;JTA MTR METALOPCK VW GOL SAVEIRO PARATI AT MI 1.0;2,;278,77;JOG-1_E
15108601PK;JTA MTR PACK 1.2MM RENAULT LOGAN SANDERO KWID 3CIL;6,;220,52;JOG-6_B
151087MLR;JTA MTR RET CAB ACO INOX 100MM S SELO S ANEL TPA V;3,;507,59;JOG-7_B
1510186PKR;JTA MTR RET CAB BASPACK HYUNDAI HB20 KIA PICANTO 1;2,;407,45;JOG-6_C
131077MLR;JTA MTR RET CABE ACO INOX (TP ALUMINIO) FORD ECOSP;0,;609,07;
131073MLR;JTA MTR RET CABE ACO INOX (TP PLASTICO) FORD ECOSP;0,;609,07;
131079MLR;JTA MTR RET CABE ACO INOX (TP PLASTICO) FORD RANGE;0,;609,07;
1510165MLR;JTA MTR RET CABE ACO INOX CITROEN C2 C3 2002/ PEUG;2,;451,41;JOG-8_A
1510183MLR;JTA MTR RET CABE ACO INOX CITROEN C4 C5 PICASSO PE;1,;949,20;JOG-8_B
141088MLR;JTA MTR RET CABE ACO INOX ETORQ EVO 1.6 16V FIAT D;0,;536,47;
141090MLR;JTA MTR RET CABE ACO INOX ETORQ EVO FLEX 1.8 16V J;2,;536,47;JOG-4_C
141073MLR;JTA MTR RET CABE ACO INOX FIAT DOBLO BRAVA MAREA P;0,;407,81;
141089MLR;JTA MTR RET CABE ACO INOX FIAT DOBLO GRAND SIENA I;2,;617,42;JOG-4_A
141087MLR;JTA MTR RET CABE ACO INOX FIAT DOBLO GRAND SIENA I;0,;543,51;
141289MLR;JTA MTR RET CABE ACO INOX FIAT DOBLO GRAND SIENA I;0,;488,25;
141287MLR;JTA MTR RET CABE ACO INOX FIAT DOBLO GRAND SIENA I;0,;429,34;
141085MLR;JTA MTR RET CABE ACO INOX FIAT EVO GRAND IDEA PALI;0,;283,43;
141057MLR;JTA MTR RET CABE ACO INOX FIAT MAREA 2.0 20 VAL 5;0,;599,59;
141069MLR;JTA MTR RET CABE ACO INOX FIAT MAREA STILO ABARTH;0,;737,24;
141081MLR;JTA MTR RET CABE ACO INOX FIAT PALIO SIENA MOTOR 1;0,;301,56;
141079MLR;JTA MTR RET CABE ACO INOX FIAT PALIO SIENA PUNTO I;2,;210,79;JOG-4_E
141086MLR;JTA MTR RET CABE ACO INOX FIATDUBLO EVO GRAND IDEA;1,;239,25;JOG-4_D
131047MLR;JTA MTR RET CABE ACO INOX FORD ECOSPORT FIESTA KA;2,;421,48;JOG-3_B
131049MLR;JTA MTR RET CABE ACO INOX FORD ESCORT ZETEC 1.8 16;3,;607,83;JOG-3_C
131045MLR;JTA MTR RET CABE ACO INOX FORD FIESTA ECOSPORT KA;4,;530,14;JOG-3_E
131065MLR;JTA MTR RET CABE ACO INOX FORD FOCUS MONDEO ZETEC;0,;834,16;
131071MLR;JTA MTR RET CABE ACO INOX FORD FOCUS MONDEO ZETEC;0,;868,37;
131074MLR;JTA MTR RET CABE ACO INOX FORD FUSION 2012/2016 MO;0,;835,79;
131051MLR;JTA MTR RET CABE ACO INOX FORD MONDEO ZETEC 2.0 16;0,;562,90;
131076MLR;JTA MTR RET CABE ACO INOX FORD MOTOR ECOBOOST 2.0;0,;988,83;
131078MLR;JTA MTR RET CABE ACO INOX FORD MOTOR ECOBOOST MGDA;0,;670,12;
131069MLR;JTA MTR RET CABE ACO INOX FORD NOVO FIESTA ECOSPOR;0,;657,23;
1210157MLR;JTA MTR RET CABE ACO INOX GM ASTRA VECTRA ELITE BL;0,;571,65;
1210159MLR;JTA MTR RET CABE ACO INOX GM ASTRA VECTRA ELITE BL;2,;567,98;JOG-3_A
121063MLR;JTA MTR RET CABE ACO INOX GM CORSA CELTA MPFI 1.0;0,;332,57;
121069MLR;JTA MTR RET CABE ACO INOX GM CORSA CELTA MPFI 1.6;0,;358,29;
1210123MLR;JTA MTR RET CABE ACO INOX GM CORSA CELTA VHC 1.0 8;1,;345,28;JOG-2_A
121057MLR;JTA MTR RET CABE ACO INOX GM CORSA EFI MPFI 1 4 1;0,;321,67;
121049MLR;JTA MTR RET CABE ACO INOX GM CORSA EFI MPFI 1.0 8V;0,;372,27;
1210117MLR;JTA MTR RET CABE ACO INOX GM CORSA MERIVA MONTANA;2,;345,69;JOG-2_B
1210136MLR;JTA MTR RET CABE ACO INOX GM CORSA PRISMA MONTANA;0,;322,04;JOG-2_E
1210119MLR;JTA MTR RET CABE ACO INOX GM MERIVA FIAT STILO DOH;0,;408,38;
121045MLR;JTA MTR RET CABE ACO INOX GM MONZA KADETT IPANEMA;0,;304,90;
1210137MLR;JTA MTR RET CABE ACO INOX GM ONIX PRISMA SPE/4 1.4;1,;373,47;JOG-2_D
121075MLR;JTA MTR RET CABE ACO INOX GM VECTRA ASTRA BLAZER S;0,;420,22;
1210150MLR;JTA MTR RET CABE ACO INOX GM VECTRA GSI CALIBRA 2.;0,;876,88;
121087MLR;JTA MTR RET CABE ACO INOX GM VECTRA S10 ASTRA ZAFI;0,;535,83;
151062MLR;JTA MTR RET CABE ACO INOX HONDA CIVIC 1.5 16 VAL 9;3,;830,37;JOG-8_C
1510136MLR;JTA MTR RET CABE ACO INOX HONDA CIVIC 1.5 16 VAL D;0,;545,71;
1510185MLR;JTA MTR RET CABE ACO INOX HONDA CIVIC ACCORD CR-V;0,;588,92;JOG-8_D
1510161MLR;JTA MTR RET CABE ACO INOX HONDA CIVIC D15Z3 D15Z6;2,;900,81;JOG-7_B
1510171MLR;JTA MTR RET CABE ACO INOX HONDA CIVIC NEW CIVIC FI;2,;535,03;JOG-8_E
1510169MLR;JTA MTR RET CABE ACO INOX HONDA FIT CITY JAZZ TWIN;1,;468,65;JOG-8_E
1510170MLR;JTA MTR RET CABE ACO INOX HONDA FIT JAZZ VTEC L15A;0,;680,82;
1510187MLR;JTA MTR RET CABE ACO INOX HYUNDAI HB20 I30 VELOSTE;2,;754,78;JOG-8_A
1510186MLR;JTA MTR RET CABE ACO INOX HYUNDAI HB20 KIA PICANTO;2,;614,80;JOG-6_C
1510177MLR;JTA MTR RET CABE ACO INOX HYUNDAI TUCSON I30 KIA S;2,;799,28;JOG-7_A
1510194MLR;JTA MTR RET CABE ACO INOX MITSUBISHI PAJERO IO 98/;0,;831,42;
1210124MLR;JTA MTR RET CABE ACO INOX ONIX PRISMA SPE/4 1.0 20;3,;332,73;JOG-3_A
141501PK22;JTA MTR RET CABE ACO INOX PEUGEOT 106 206 306 MTR;0,;49,73;
1510134MLR;JTA MTR RET CABE ACO INOX PEUGEOT 206 307 PARTNER;2,;604,96;JOG-8_D
1510141MLR;JTA MTR RET CABE ACO INOX PEUGEOT 307 406 407 607;2,;462,72;JOG-8_C
1510173MLR;JTA MTR RET CABE ACO INOX RENAULT CLIO KANGOO LOGA;2,;554,98;JOG-8_B
151086MLR;JTA MTR RET CABE ACO INOX RENAULT CLIO KANGOO TWIN;0,;626,26;
1510108MLR;JTA MTR RET CABE ACO INOX RENAULT LAGUNA MEGANE SC;2,;609,26;JOG-7_C
1510179MLR;JTA MTR RET CABE ACO INOX RENAULT LOGAN SANDERO 1.;2,;688,34;JOG-8_C
1510175MLR;JTA MTR RET CABE ACO INOX RENAULT MASTER 2.5 16 VA;2,;826,48;JOG-8_E
1510118MLR;JTA MTR RET CABE ACO INOX RENAULT MEGANE SCENIC LA;2,;661,47;JOG-8_B
151058MLR;JTA MTR RET CABE ACO INOX TERRA FRONTIER GM S10 BL;0,;772,09;
1510153MLR;JTA MTR RET CABE ACO INOX TOYOTA COROLLA DOHC 7AFE;0,;709,74;
1510154MLR;JTA MTR RET CABE ACO INOX TOYOTA COROLLA PRIUS 12/;2,;570,62;JOG-8_A
1510146MLR;JTA MTR RET CABE ACO INOX TOYOTA COROLLA VVTI FILD;7,;649,03;JOG-8_A
1110117ML3R;JTA MTR RET CABE ACO INOX VW AMAROK 2.0 4CIL 16V M;0,;925,01;
