produto;descrição;qut;precro_bruto;prateleira
15211002;ANEL COL ADM PEUGEOT CITROEN BERLINGO 1.8 XU7JB 8V;0,;50,33;
152186;ANEL COL ADM RENAULT CLIO KANGOO TWINGO D7D D7F 1.;4,;40,21;COL-P3_G.1
152187;ANEL COL ADM RENAULT CLIO KANGOO TWINGO SANDERO PE;28,;29,09;COL-P3_H.3
15211083;ANEL COL ADM RENAULT MEGANE SCENIC LAGUNA K4J 1 4;10,;12,87;COL-P3_B.8
1421532;ANEL COL ADM SENSOR FIAT FIRE 1.0 1.3 16 VAL;7,;65,30;COL-P3_B.6
1421492;ANEL COL ADM SENSOR FIAT UNO SMART PALIO SIENA IDE;18,;58,75;COL-P3_E.5
1421493;ANEL COL ADM SENSOR FIAT UNO SMART PALIO SIENA IDE;1,;80,80;COL-P3_E.7
12211172;ANEL COL ADM SENSOR GM CORSA CELTA MERIVA 1.0 1.8;33,;66,17;COL-P3_D.7
15211082;ANEL COL ADM SENSOR RENAULT CLIO MEGANE LAGUNA SCN;0,;51,91;COL-P3_H.4
112104;ANEL COL ADM VW FUSCA BRASILIA KOMBI 1300 1500 160;15,;4,87;COL-11_C.2
112181;ANEL COL ADM VW GOLF SR BORA AUDI A3 A4 AEH AKL AH;5,;38,19;COL-P3_C.8
152032;ANEL COL ESCAP GURGEL SUPER MINI BR 800 31.5X40.0X;0,;8,49;
4212117;ANEL CORPO BORBOLETA GM CORSA MERIVA 1.0 1.8 FLEX;0,;12,65;
15401068;ANEL DIST COROLLA 92/99 1.6 16V 4AFE 1.8 16V 7AFE;0,;4,07;
143501;ANEL DIST FIASA NACIONAL ELBA FIAT 147 FIORINO OGG;0,;2,22;
123549;ANEL DIST GM MONZA CORSA CELTA PRIS MERI 1.0 1.4 1;0,;5,84;
153502;ANEL DIST RENAULT TRAFIC R21 2 0 2 2 GAS;0,;10,46;
113503;ANEL DIST VW FUSCA BRASILIA KOMBI VARIANT 1300 150;40,;3,36;
114214;ANEL DIST VW GOL PARATI SAVEIRO MI 1000 AT 8V E 16;0,;3,51;
CFX105;ANEL ESCAP  VW SANTANA LOGUS;0,;2,07;
15636221;ANEL FILTRO SELENOIDE VTEC HOND ARCORD CIVIC CR-V;0,;115,57;
15636220;ANEL FILTRO SELENOIDE VTEC HONDA ACCORD HYBRID ODY;5,;115,57;DIV-1_C.8
15636207;ANEL FILTRO TELA SOLENOIDE HONDA CIVIC CITY CR-Z E;126,;94,39;DIV-1_D.2
15411853;ANEL FILTRO TELA VEDACAO VALVULA VTEC SOLENOIDE HO;8,;83,78;DIV-1_C.5
144264;ANEL FLANGE CABE TUBO D AGUA VW GOL SANTANA AP 1.8;0,;4,93;
151760043BN;ANEL GR NISSAN FRONTIER PATHFINDER YO25ET 2.5 16V;5,;166,90;C10-E.1.A
1717304BN;ANEL JTA BICO INJ GM D60 D12000 D14000 D22000 DODG;0,;1,40;
211301;ANEL LATERAL CAMBIO GROSSO VW FUSCA BRASILIA KOMBI;0,;7,79;
15402351;ANEL MITSUBISHI CARISMA EXPO LANCER PAJERO TR4 FLE;0,;7,40;
154362;ANEL ORING ANTI CHAMA HONDA CIVIC D15Z3 8 D16Z6 7 ;0,;4,26;
15273301;ANEL ORING BOR BBA VACUO BMW 116I 316I 1.6 16V 200;0,;9,86;
12371643;ANEL ORING BORRACHA CANO ENTRADA RESF OLEO MOTOR G;0,;2,36;
15411711;ANEL ORING DISTRIBUIDOR HONDA CIVIC D15 1.5 D16 1.;0,;8,06;
1817231BN;ANEL ORING PRISI TV MTR MWM X10 X12 4.12 6.12 SERI;0,;0,36;
1317834BN;ANEL PARAFUSO FORD DURATORQ PUMA TDCI (22DDOP) 2.2;0,;112,50;
1317864BN;ANEL PARAFUSO FORD RANGER 13/... TROLLER - T4 MTR;0,;96,43;
113701;ANEL RADIADOR OLEO VW FUSCA BRASILIA KOMBI 1300 15;0,;3,72;SEL-1_G.6
113507;ANEL RADIADOR OLEO VW IMPORTADO;0,;10,92;
113702;ANEL RADIADOR OLEO VW VARIANT;0,;11,30;
1442491;ANEL RESPIRO OLEO FIAT UNO SMART PALIO SIENA IDEIA;0,;7,25;
15211081;ANEL SENSOR RENAULT CLIO MEGANE LAGUNA SCNIC MOTOR;0,;37,34;
1442499;ANEL SENSOR TEMPERATURA D AGUA FIAT UNO SMART PALI;15,;9,26;DIV-2_D.2
12211241;ANEL SENSOR TEMPERATURA D AGUA GM COBALT MERIVA MO;0,;24,06;
12211171;ANEL SENSOR TEMPERATURA D AGUA GM CORSA CELTA MERI;0,;11,86;
1440537;ANEL SENSOR TEMPERATURA D AGUA GM CORSA FIAT FIRE;0,;9,26;DIV-2_B.6
114215;ANEL SENSOR TEMPERATURA D AGUA VW GOL MI 1.0 8V E;0,;3,47;
152168033;ANEL SENSOR TEMPERATURA DAGUA GM TRACKER SUZUKI GR;0,;15,19;
14424910;ANEL SIL BOBINA FIAT UNO SMART PALIO SIENA IDEIA P;284,;4,44;DIV-3_I.3
124104SL;ANEL SILIC BBA D AGUA FLANG LATERAL COROA CAMBIO G;0,;18,45;
79770AN;ANEL STD 4 CIL 69 MM 1,2 X 1,5 X 2,5 PEU/REN 1.0;0,;205,84;
111070AN;ANEL STD 72 MM FIAT PALIO FIRE 1.4 8V FLEX  COD. F;0,;110,01;
58055040AN;ANEL STD 82 MM GM CHEVETTE 1.6 GAS HATCH MARAJÓ ..;0,;132,66;
58004070AN;ANEL STD 86,4 MM FIAT ELBA FIORINO PREMIO TIPO 1.6;0,;122,85;
391701071BN;ANEL TAMPA VALVULA MOTOCICLETA HONDA MTR CG TITAN;0,;1,67;
13733;ANEL TAMPA/ENCHIMENTO OLEO DO MOTOR PALIO FIRE TDS;0,;2,59;PRAT RESERVAS
1542222;ANEL TOYOTA LANDCRUISER COASTER DELTA DYNA TOYO AC;0,;0,91;
154050021;ANEL TOYOTA LANDCRUISER COASTER DYNA 200 DAIHATSU;0,;1,45;
1442331;ANEL TP COMANDO FIAT PALIO WEEKEND STRADA BRAVA 1.;0,;3,36;
134290BN;ANEL TP DIST FORD KA KA+ NEW FIESTA ECOBOOST TIVCT;0,;15,68;
1140023;ANEL TROCADOR CALOR 60 X 5 VW PASSAT GOL SANTANA S;0,;19,81;
15401342;ANEL TROCADOR CALOR CITROEN C3 C4 C5 C8 PEUGEOT 20;0,;83,17;
1440573;ANEL TROCADOR CALOR FIAT MAREA BRAVA STILO ABARTH;0,;43,98;
124213;ANEL TUBO BBA OLEO GM CHEVETTE 1.4 1.6 JUNIOR 1000;0,;3,36;
114103;ANEL TUBO D AGUA VW GOL SAVEIRO PARATI AT MI 1000;90,;3,65;DIV-3_H.3
211302;ANEL TUBO SEMI-EIXO CAMBIO FINO VW FUSCA BRASILIA;0,;7,17;
1417571BN;ANEL TV (TP ALUMINIO) FIAT MAREA BRAVA 1.8 16V 4 C;0,;50,33;
1417691BN;ANEL TV 12 PECAS (TP PLASTICA) FIAT MAREA BRAVO ST;0,;45,35;
1417531BN;ANEL TV 12 PECAS 15.3X1.78 FIAT PALIO FIRE 1.0 1.3;0,;20,83;
15171961SL;ANEL TV BOR  MIT PAJERO TD TRITON NISSAN FRONTIER;0,;75,98;
12171613BN;ANEL TV BOR 26 PCS GM CAPTIVA MTR 10HM 3.6 24V V6;0,;39,37;
1417881BN;ANEL TV BOR 4 PCS  FIAT DOBLO GRAN SIENA SIENA IDE;2,;33,79;C9-G.3
12171661BN;ANEL TV BOR 4 PCS CTDI LTZ 2.8 4 CILS 16V DIESEL G;6,;149,26;C-20_E.3.B
15171123BN;ANEL TV BOR 4 PCS GDE HONDA CIVIC D15ZI D16A6 D16Z;0,;35,87;C30-A.2
15172231BN;ANEL TV BOR 4 PCS GDE TOYOTA HILUX LANDCRUISE T100;0,;149,96;
15171363BN;ANEL TV BOR 4 PCS HONDA CIVIC 16V D15B1 D15B2 D15B;0,;52,49;
15171773BN;ANEL TV BOR 4 PCS HYUNDAI TUCSON I30 KIA SPORTAGE;3,;51,03;C20-F.3.B
15171941BN;ANEL TV BOR 4 PCS MITSUBISHI PAJERO IO 98/ TR4 FLE;6,;62,56;C20_J.2
15172283BN;ANEL TV BOR 4 PCS PEQ HONDA ACCORD PRELUDE 1 8 2 0;0,;165,12;
1517871BN;ANEL TV BOR 4 PCS RENAULT CLIO KANGOO TWINGO SANDE;5,;80,48;C30-D.2
15171551BN;ANEL TV BOR 4 PCS TOYOTA HILUX 16V 2KD FTV TURBO D;4,;90,79;C20-C.2
15172233BN;ANEL TV BOR 4 PCS TOYOTA HILUX LANDCRUISE T100 TAC;0,;74,41;
15171121BN;ANEL TV BOR 5 PCS PEQ HONDA CIVIC D15ZI D16A6 D16Z;5,;43,93;C30-C.4
15172211BN;ANEL TV BOR 5 PCS PEQ TOYOTA COROLLA PASEO TERCEL;0,;103,57;
12171611BN;ANEL TV BOR 6 PCS GM CAPTIVA MTR 10HM 3.6 24V V6;0,;60,59;
15171691BN;ANEL TV BOR 8 PCS HONDA FIT CITY JAZZ I-DSI TWIN S;0,;40,63;C30-A.1
15171361BN;ANEL TV BOR CIVIC CRX 92 MTR D16A7 SOHC 1 6 16;0,;56,12;
15172271BN;ANEL TV BOR HONDA ACCORD 2 3 16VAL VTEC F23A3 F23A;0,;157,26;
15171961BN;ANEL TV BOR MITSUBI TRITON 3.2 NISSAN FRONTIER 2.5;4,;41,34;C20-J.1
1517873BN;ANEL TV BOR RENAULT CLIO KANGOO TWINGO PEUGEOT 206;5,;16,74;C30-D.5
15171541BN;ANEL TV BOR TOYOTA COROLLA PRIUS 07/... 2ZR-FE 1.8;0,;78,83;
1117061BN;ANEL TV BOR VW GOL AT 1000 8V 97/...;11,;18,21;DIV-1_C.2
1417071BN;ANEL TV FIAT TEMPRA TIPO 2.0 16 VAL;67,;27,02;TV-14_E.2
1317491BN;ANEL TV FORD ESCORT MONDEO ZETEC 1.8 2.0 16 VAL;0,;50,33;
12171051BN;ANEL TV GM S10 BLAZER VORTEC GAS V6 4.3;0,;50,33;
1217131BN;ANEL TV GM VECTRA ASTRA CORSA 16V FIAT ETOEQ 1.6 1;0,;14,65;
42121171;ANEL VAL RECIRCULACAO GASES GM CORSA MERIVA 1.0 1.;0,;7,64;
114217;ANEL VAL TERM BAH BJA BLH BORA CROSSFOX FOX GOL GO;0,;4,44;
1242873;ANEL VAL TERM BY-PASS VITILALACAO GM VECTRA ASTRA;0,;4,87;
143587;ANEL VAL TERMOST FIAT DOBLO GRAND SIENA IDEA PALIO;7,;58,79;DIV-3_F.5
143588;ANEL VAL TERMOST FIAT DOBLO GRAND SIENA IDEA PALIO;0,;58,79;
123505;ANEL VAL TERMOSTATICA ABERTO GM MONZA KADETT IPANE;0,;4,72;
1135116;ANEL VAL TERMOSTATICA BB DAGUA VW JETTA PASSAT TIG;0,;61,38;
15355002;ANEL VAL TERMOSTATICA BBA DAGUA TOYOTA LANDCRUISER;0,;13,65;
1335491;ANEL VAL TERMOSTATICA CARC FORD ESCORT MONDEO ZETE;0,;3,03;
1335431;ANEL VAL TERMOSTATICA CARC FORD FIESTA COURIER ZET;10,;3,36;
1242872;ANEL VAL TERMOSTATICA CARC GM VECTRA ASTRA S10 2.0;0,;7,14;
